GS_class;SF_class;SF_number;CH_distance;CH_area;SS_distance;SS_number;SS_areas;Day;Month;Year;CME_max_angular_width;CME_max_velocity;CME_number
0;7.9e-07;48;15.817637724411242;2244287567922.0;55.82200306625719;7;-1041306364;28;2;2013;52;781.0;13
1;6.8e-07;28;15.817637724411242;2455928701232.0;32.90899330545667;8;489081726;1;3;2013;61;756.0;11
0;1.9e-06;24;9.225128133794913;2590153620539.0;49.572390920033996;11;929257724;2;3;2013;73;568.0;14
0;6.1e-07;13;11.028018050169972;2757718025408.0;63.5299526427001;7;-837932318;3;3;2013;88;1952.0;16
0;4.6e-07;15;17.267769191854704;2392041844896.0;90.95693901742293;2;1024502976;4;3;2013;12;672.0;4
0;1.2e-05;41;16.447977299328727;2769298033132.0;1000.0;0;0;5;3;2013;360;2016.0;20
0;8.9e-07;18;17.05317009690774;2712793250744.0;1000.0;0;0;6;3;2013;360;631.0;15
0;1.5e-06;10;11.569129859393165;2751541292066.0;1000.0;0;0;7;3;2013;94;600.0;7
0;6.8e-07;5;17.516764760154345;2798226135736.0;89.94584620368366;4;1287853024;8;3;2013;23;710.0;9
0;0.0;3;17.4441552287745;2209170994954.0;40.21331854281518;4;1307736992;9;3;2013;70;1689.0;11
0;6.699999999999999e-07;28;17.616738411654538;1911613177718.0;17.209398547409517;10;1571954642;10;3;2013;16;370.0;3
0;1.6e-06;39;17.685540022340707;1937787102390.0;19.42174094975296;10;-1294356550;11;3;2013;116;1177.0;6
0;3.6000000000000007e-06;51;17.98537860776338;2144945011072.0;19.42174094975296;13;103198470;12;3;2013;196;1201.0;11
0;1.9e-06;52;12.28404997925468;1670770791680.0;4.2424858192516;20;-124832882;13;3;2013;131;710.0;7
0;2.1000000000000002e-06;25;19.436887094594415;1615942639425.0;4.2424858192516;20;767848072;14;3;2013;72;606.0;8
0;1.1e-05;61;17.88587929448429;1400695122566.0;27.651240577453194;20;529856060;15;3;2013;360;1838.0;12
0;2.8e-06;77;19.40213338655937;1238801261628.0;42.04316506691393;26;-2121210086;16;3;2013;147;1136.0;9
2;1e-06;68;17.160832935492696;1079662053265.0;41.23126708227338;18;-1619398810;17;3;2013;157;1970.0;11
1;2.8e-06;69;16.066788813181756;1138474265407.0;61.82869215614666;16;1879569512;18;3;2013;157;637.0;11
0;4.3e-06;34;16.369745676449494;1034133789978.0;80.68417527033091;10;-208403512;19;3;2013;62;443.0;11
